ID;text;rating;kategoria_benchmark;uzasadnienie;manual_weryfikacja;sentyment;total_tokens
10;Pokrywa czajnika nie domyka się, przez co woda nawet zagotowana wciąż się gotuje, ponieważ po przez nieszczelności czujnik nie wyłapuje i nie wyłącza od razu po osiągnięciu 100 stopni. Drugim problemem jest sitko, które nie dochodzi do krawędzi czajnika i nie odsącza kamienia, przez ok centymetrową szczelinę.   Zgłosiłem wadę i odesłałem czajnik (w reklamacji zaznaczyłem opcję, że proszę o zwrot pieniędzy). Po kilku dniach otrzymałem nowy, sprawny czajnik, jednak po kilku użyciach wada objawia się w ten sam sposób..;1;Słabe materiały i usterki;Recenzja szczegółowo opisuje powtarzające się wady fizyczne konstrukcji, takie jak nieszczelna pokrywa i źle dopasowane sitko.;;negatywny;1786
11;To nie jest pokojowa antena, w domu można nią najwyżej złapać katar. Trzeba ją wystawić na zewnątrz i na dodatek dobrze ukierunkować bo inaczej znajduje mało kanałów i bardzo rwie sygnał. Słabo zbiera sygnał pomimo wzmacniacza. Wtyczka antenowa słabej jakości, podczas zmiany kabla na dłuższy bałem się że się rozpadnie. Kabel dwa razy cieńszy od standardowego i krótki (ale o długości było w aukcji). Generalnie nie polecam chyba że ktoś mieszka pod nadajnikiem np. przy Pałacu Kultury i Nauki to może złapie sygnał w pomieszczeniu, na Wilanowie już nie ma szans. ;1;Niska wydajność w praktyce;Głównym powodem negatywnej opinii jest niedostateczna siła odbieranego sygnału oraz rwanie obrazu, co wskazuje na słabe parametry użytkowe urządzenia.;;negatywny;1586
12;Bardzo miękkie tworzywo z którego wykonano stolik. Po pierwszym użyciu wygiął się w dół po ciężarem Lenowo T540p. Nogi się wyginają, rozjeżdżają na boki. Po pierwszym wieczorze w łóżku jedna z nóżek wyrwała śrubkę która ją mocowała do blatu. Nic dziwnego zresztą bo jak wspomniałem to jakieś miękkie tworzywo najgorszego gatunku. Porażka i szkoda kasy.;1;Słabe materiały i usterki;Głównym powodem opinii jest fizyczne uszkodzenie produktu oraz niska jakość tworzywa, z którego został wykonany.;;negatywny;1582
13;Słuchawki kupione z myślą o bieganiu. Super wygląd i dobre dopasowanie do głowy.... i tu się zalety kończą.  Podczas biegania dźwięk przycisza się lub całkowicie zanika raz w jednej, raz w drugiej słuchawce. Po prostu porażka !! Przy stacjonarnym słuchaniu muzyki ten problem nie występuje, więc prawdopodobnie słuchawki nie radzą sobie z wibracjami i wstrząsami, jakie pojawiają się podczas biegania.   Produkt zwrócony, szybki zwrot pieniędzy.;1;Niska wydajność w praktyce;Słuchawki przerywają odtwarzanie dźwięku podczas ruchu, co uniemożliwia ich stabilne użytkowanie w trakcie biegania.;;negatywny;1538
14; kupilem tu wiele rzeczy, wszystko super, obsluga, kontakt, towar... Ale TO szkło do beznadzieja, omijać z daleka, jednak Mi 9T nie ma idealnie płaskiej całej powierzchni wyswietlacza, po tygodniu użytkowania szkło ma skruszone 3 rogi, z czego 2 wskutek czyszczenia ekranu, pod naciskiem. Jest ZA SZTYWNE. Jesli sie dobrze przyjrzeć, szkło u gory i na dole wyswietlacza nie jest doklejone na całej szerokości telefonu na około 1-1.5mm. Nie polecam tego szkla, nie jest drogie ale to kasa w błoto.;1;Kompatybilność i montaż;Głównym problemem opisanym przez klienta jest niedopasowanie produktu do specyficznej geometrii ekranu telefonu Mi 9T, co skutkuje brakiem przylegania na krawędziach.;;negatywny;2431
15;Tragedia , nie polecam , szybki łamią się jak opłatek , kupiłem 2 sztuki i obie to samo , nawet jednej folii nie szło odkleić , pieniądze poszły w błoto, zero instrukcji jak ten badziew zamontować aby nie pękło szło.  Obudowa etui zrobione chyba z gumy balonowej bardzo miękkie i słabe. ;1;Słabe materiały i usterki;Głównym powodem reklamacji jest bardzo niska jakość fizyczna produktów, przejawiająca się pękaniem szkła oraz zbyt miękkim materiałem etui.;;negatywny;1781
16;"Produkt niezgodny z opisem. Zgodnie z opisem szczegółowym tusze mają pasować do drukarki CANON Pixma MG5420. Niestety tylko magenta jest wykrywany przez drukarkę. Pozostałych drukarka nie ""widzi"". Kontakt z działem technicznym pod nr 17 715 89 75 jest tragiczny. Kilka dni z rzędu próbowałem się dodzwonić bez skutku m.in. byłem pierwszy w kolejce o godz. 9.07 - po ponad godzinie oczekiwania zrezygnowałem. NIE POLECAM";1;Kompatybilność i montaż;Głównym powodem opinii jest niezgodność produktu z opisem technicznym i brak kompatybilności tuszy z konkretnym modelem drukarki.;;negatywny;3698
17;Bardzo szybko nagrzewa się obudowa i przez to oddaje ciepło do otoczenia. Prawdziwy termos utrzymuje temperaturę, ten bardzo szybko traci ją. Porównałem go do zwykłego marketowego termosu, to po godzinie termos miał nadal gorąca wodę, że można było zaparzyć herbatę,  aten czajnik z NIBY termosem, po godzinie miał ciepłą wodę, bo całe ciepło oddał do otoczenia. Koło termosu to nawet nie stało.;1;Niska wydajność w praktyce;Produkt nie spełnia swojej podstawowej funkcji izolacji termicznej, wykazując znacznie gorsze parametry użytkowe w porównaniu do standardowego termosu.;;negatywny;1551
18;"Produkt felerny nie działa z LG - żaden z 5 przesłanych kabli :( Wydaje się po podłączeniu jakby działał - pojawia się ""piorunek"". Telefon po podłączeniu tym kablem mimo kilku godzin zero naładowania :( Kabel firmowy jaki jeden posiadam USB-C - działa elegancko. Test wykonałem też na innym telefonie Samsung i tez nie działa. Wadliwy towar!";1;Słabe materiały i usterki;Klient wskazuje na całkowitą dysfunkcję i wadę fabryczną wszystkich otrzymanych egzemplarzy produktu, które nie ładują żadnego z testowanych telefonów.;;negatywny;1523
19;"Prędkość transferu w GET2FILE wahała się od 100kB/s do góra 1500kB/s. Sprawdzałem w 2 różnych dniach o różnych porach. I to ma być konto premium? Olałem to, i chwilę później kupiłem bezpośrednio w Rapidu za 6,99 na 3 dni. I transfer natychmiast skoczył do mojego maksymalnego. Plik 2,5GB ściągnąłem w 50 sekund. W GET2FILE musiałbym na ten plik czekać prawie dwie godziny. Nazywanie czegoś takiego ""kontem premium"" to zwykła bezczelność.";1;Niska wydajność w praktyce;Klient skarży się na rażąco niską prędkość transferu danych, która uniemożliwia sprawne korzystanie z usługi typu premium.;;negatywny;2607
20;Odradzam zakup tego monitora. Blade kolory, bardzo słaba czerń, zamiast niej jest szarość, a przecież jest to matryca VA. Bardzo słabe kąty widzenia. 21.5 cala to jednak za mało. 23.8 cala to idealna wielkość przekątnej. Polecam zakup monitora z matrycą IPS, który kupiłem po zwrocie tego, a mianowicie Acer NITRO VG240Y. IPS zamiata tego VA pod dywan pod każdym względem. ;1;Niska wydajność w praktyce;Klient negatywnie ocenia parametry użytkowe matrycy, takie jak odwzorowanie kolorów, jakość czerni oraz kąty widzenia.;;negatywny;1329
21;Ramka nie jest zaoblona (jak widać na głównym zdjęciu) i kształtem nie jest tożsama z kształtem ramki smartfona do jakiego jest dedykowana. Jest kanciasta. Poważnym minusem produktu jest to, że jest wykonany z tak grubego materiału, że nie jest możliwe korzystanie z czytnika linii papilarnych, a wciśnięcie tego przycisku jest bardzo utrudnione. Powiększa znacznie gabaryty telefonu. Ponadto otwór na ten sam przycisk nie jest dopasowany-jest przesunięty. Ramka wykonana z bardzo ciężkiego stopu co znacznie zwiększa wagę smartfona.;1;Kompatybilność i montaż;Produkt ma niewłaściwy kształt, nie pasuje do dedykowanego modelu telefonu i posiada przesunięte otwory na przyciski.;;negatywny;1427
22;50 zl i dobrze wygląda i to tyle zalet. Silnik - moc wystarczająca, ale : Wyciskanie soku z cytrynki jeszcze ujdzie, wyciskanie soku z pomarańczy to porażka. Większy pomarańcz - blokuje całe urządzenie , wystarczy delikatnie - bardzo delikatnie docisnąć - (inaczej sok nie leci) od razu działa - wyje sprzęgiełko, 10 min i po wielkich trudach pomarańcza wyciśnięta / wykręcona + jeszcze mała poprawka łyżką stołową. Zmiana kierunku obrotu to także nieporozumienie , w lewo jeszcze jakoś kręci, w prawo praktycznie od razu stoi - wyje sprzęgiełko przeciążeniowe. jedna wielka walka.  zrobiłem 4 szklanki soku i jestem zmeczony, dla porownania pozyczylem  wyciskarke z lidla (100zl ) niebo, a ziemia trochę głośna, ale wyciskanie bezproblowe pare sekun i szklanka soku gotowa. Może ja tak trafiłem - odradzam zakup tego dziadostwa .;1;Niska wydajność w praktyce;Klient szczegółowo opisuje problemy z efektywnością wyciskania owoców oraz fakt, że urządzenie blokuje się i nie radzi sobie z podstawowym zadaniem.;;negatywny;1719
23;Kabel nie warty swojej ceny, maksymalnie powinien kosztowań 5zł, kolejna chińska tandeta, końcówka krzywa albo źle poskładana albo wygięta,  sam kabel był zagięty tak mocno że nie da się go wyprostować i jest uszkodzony przez to pancerz. No i oczywiście parametry 5V 2A to czysta fikcja w rzeczywistości kabel daje 5V 1,5A mierzone na mierniku USB który przy innym kablu pokazuje 1,86A. Za te naciągane parametry to powinni ręce ucinać. ;1;Zawyżone parametry i podróbki;Klient w sposób szczegółowy kwestionuje deklarowane parametry techniczne ładowania, nazywając je fikcją i popierając to własnym pomiarem.;;negatywny;1701
24;Wygląda na oryginalną więc tego aspektu produktu nie podważam, jednak mimo wyświetlanego symbolu ładowania na telefonie, nie ładuje. Przez 40 minut pracy brak zmiany stanu baterii. Kupiłem tą jako drugą, awaryjną ładowarkę. Oryginalna przez 40 minut naładowała kilkadziesiąt procent. Ta niestety nawet o 1% nie poszła do góry. Czekam na wymianę i liczę to, że ta sztuka to przypadkowa wpadka. ;1;Niska wydajność w praktyce;Głównym problemem jest brak efektywności ładowania urządzenia mimo sygnalizowania pracy, co bezpośrednio wpisuje się w definicję niskiej wydajności.;;negatywny;1368
25;"Czajnik w ogóle nie spełnia moich oczekiwań. Grzałka po dwóch tygodniach cała jakby przypalona a nie był włączony bez wody czy coś podobnego. Klapka nie domyka się i choć woda nie jest nalana do oznaczenia gdzie jest ""max"" to podczas gotowania woda wylatuje przez nie domykającą się klapkę jednym słowy masakra i nie poleca. ";1;Słabe materiały i usterki;Recenzja opisuje fizyczne uszkodzenie grzałki oraz wadę mechaniczną klapki, co jednoznacznie wskazuje na usterki produktu.;;negatywny;1445
26;Worek wykonany w formie koperty  brak jego wyprofilowania   skutkuje   małą pojemnością   oraz  obrywaniem go  u nasady rury podczas użytkowania .Pierwszy założony worek rozerwał się na szwie w stawiłem zdjęcie .Worki nie nadają się w mojej ocenie do odkurzaczy przemysłowych chyba ,że do odkurzania pierza .;1;Słabe materiały i usterki;Głównym powodem negatywnej opinii jest fizyczne uszkodzenie produktu, czyli rozerwanie się worka na szwie oraz jego pękanie przy rurze podczas użytkowania.;;negatywny;1509
27;stolik już na śmietniku....pisanie że pasuje do wszystkich laptopów to po prostu kłamstwo mam 17 msi i po pierwsze lapek sie na nim nie miesci a po drugie pod wpływem jego ciężaru nogi się wyłamały po kilku dniach....chwiejny i delikatny...no chyba ze do tableta albo do czytania gazety .....25 kg wytrzymałości bueh ....z takim badziewiem dawno nie miałem doczynienia PORAŻKA;1;Słabe materiały i usterki;Głównym powodem negatywnej opinii jest fizyczne uszkodzenie produktu (wyłamane nogi) oraz jego niska jakość wykonania określona jako chwiejna i delikatna.;;negatywny;3852
28;"Beznadzieja; bez przerwy urywa połączenie; słaby zasięg, mimo że znajduje się w odległości 2m od komputera (z niewielkim załamaniem ściany); prędkość duuuużo słabsza niż bezpośrednio z routera; jeszcze do tego popier*oliło mi ustawienia i drukarka nie działa jeśli nie włączę tego dziadostwa. Nie rozumiem, wcale nie jest to najtańsze urządzenie w swojej klasie a takie g*wno...";1;Niska wydajność w praktyce;Klient wskazuje na szereg problemów z działaniem urządzenia, takich jak zrywanie połączenia, słaby zasięg oraz niesatysfakcjonującą prędkość transferu.;;negatywny;1514
29;"Etui jest bardzo tanie i ... na tym kończą się jego zalety. Farba użyta w nadruku wzoru sprawia wrażenie ""lepienia się"" do palców, ponadto wydziela dość intensywny i nieprzyjemny chemiczny ""zapach"", który przy dłuższym trzymaniu zostaje na rękach. Silikonowa kieszeń wewnątrz została przymocowana pół centymetra niżej niż powinna, przez co telefon wystaje około 2 mm na dole, a na górze pozostaje pusta przestrzeń. Klapka po zamknięciu na pasek magnetyczny ma niewielki ""luz"" (kilka milimetrów), który w połączeniu z elastycznym materiałem sprawia, że nie przylega ściśle, przez co nie zabezpiecza należycie telefonu. Po wrzuceniu do torebki, inne drobne przedmioty (np. klucze) mogą wsuwać się pomiędzy klapkę a telefon. Podsumowując, po około godzinie od odebrania etui trafiło do kosza. Nie zostało odesłane tylko ze względu na niską cenę, adekwatną do niskiej jakości wykonania.";1;Słabe materiały i usterki;Klient szczegółowo opisuje wady fizyczne produktu, takie jak toksyczny zapach, lepiąca się farba oraz błędy produkcyjne w montażu wewnętrznej kieszeni.;;negatywny;1780
30;Jakość tego szkła to po prostu porażka. Kupione dwa egzemplarze z myślą, że starczą mi spokojnie na kilka miesięcy a starczyły na 2 tygodnie! Juz na drugi dzień od założenia były miejsca ubite, gdzie telefon nie spadł ani razu a noszony był w torebce bądź kieszeni kurtki. Odradzam zakup. Strata pieniędzy. ;1;Słabe materiały i usterki;Klient skarży się na niską trwałość materiału i powstawanie uszkodzeń mechanicznych przy normalnym użytkowaniu.;;negatywny;1432
31;Niestety produkt nie sprostał moim wymaganiom, przez okulary widzę niewyraźnie, nie pomogło nawet ściągnięcie folii ochronnej z telefonu. Po odesłaniu do firmy, powiedziano mi że są one sprawne, sprawdzane na kilku telefonach. Lecz po powrocie dalej mam w nich rozmazany ekran, nie wiem co jest przyczyną, nie mam stwierdzonej wady wzroku, więc taka moja ocena. Pozdrawiam.;1;Niska wydajność w praktyce;Klient skarży się na niefunkcjonalność i niewyraźny obraz podczas użytkowania produktu, mimo braku stwierdzenia przez serwis fizycznej usterki.;;negatywny;1401
32;Chinski  bubel, przywiera mleko do dna, jesli chce się zrobić więcej mleka na kilka kaw, za każdym razem trzeba czyścić dno ! bo mleko jest mocno przywarte do dna i po 2 podgrzaniach raz po raz bez czyszczenia mleko pachnie przypalonym...ma tylko dwie funkcje a właściwie jedną....podgrzewa i pieni Nie pieni mleka na zimno Cena uważam za wysoka na taką jakość. Kupiłam produkt co w opisie był wielofunkcyjny ma 1 funkcje raptem...Jak ktoś szuka porządnego spieniacza to ten odradzam....;1;Niska wydajność w praktyce;Klient wskazuje na niską jakość działania urządzenia, przejawiającą się przypalaniem mleka oraz brakiem deklarowanych funkcji użytkowych.;;negatywny;1641
33;W wzmacniacz po otwarciu opakowania coś było niedokrecone. Pracownik sklepu poinformował   mnie abym go rozkręcił i to rozkręcił A jak by potem wzmacniacz nie działał to przyjmie go do reklamacji. No ale działa chociaż elektryk że mnie żaden.  Cewka zasilania(chyba) przykrecona tylko na 1 śrubkę 3 pozostałe latały luzem w wzmacniaczu razem z cewką.;1;Słabe materiały i usterki;Głównym problemem jest fizyczna usterka urządzenia w postaci niedokręconych elementów i śrub latających luzem wewnątrz obudowy.;;negatywny;1301
34;Niezbyt dopasowany, są minimalne luzy po założeniu - przy tej technologii albo nie powinno ich być, albo w środku powinna być okładzina chroniąca brzegi aparatu.  Wcale nie chroni telefonu. W razie upadku od razu się otwiera i później trzeba zbierać z podłogi osobno telefon, i osobno części obudowy. Uważam, że mam szczęście, że obudowa nie porysowała aparatu. Dodatkowo -  etui obtarło się już po pierwszym spotkaniu z podłogą, a mam niej gładką wykładzinę pcv. Od razu zmieniłam na inne i nie zamierzam do niego wracać, wyrzucone pieniądze.;1;Kompatybilność i montaż;Głównym powodem krytyki jest brak precyzyjnego dopasowania etui do urządzenia (luzy) oraz fakt, że produkt odpada i rozpada się przy upadku.;;negatywny;3680
35;Szkło hartowane rzeczywiście jest szkłem. Tyle z pozytywów.  otwory nie pokrywają się najlepiej nie wspominając o dodatkowym kompletnie niepotrzebnym otworze.  Szkło ma wielkość wyświetlacza, ale w zenfone ten wyświetlacz jest zaokrąglony z każdej strony co skutkuje baaardzo dużej powierzchni, która do niego nie przylega. Moim zdaniem szkło zostało przycięte po zerknięciu na wymiary ekranu producenta zenfone i bez większego zastanowienia kropka w kropkę przeniesiona na cięty materiał. I tak, mój telefon to na pewno zenfone 3 model ZE520KL;1;Kompatybilność i montaż;Klient wskazuje na niedopasowanie wycięć oraz brak przylegania szkła do zaokrąglonych krawędzi ekranu dedykowanego modelu telefonu.;;negatywny;1518
36;Pręty z miekiej stali konstrukcyjnej, nie nadają sie na prowadnice. Jest to mięka rdzewna stal, najtańsza i prawie najgosza jaką da się kupić. Do tego pręty nie trzymają wymiarów są 11.9cm a nie 12cm - więc są luzy na łożyskach. Pręt o długości 50cm. wygina sie o 3mm po przyłożeniu 15kg. Także nie da sie ich użyć jako prowadnice gdyż wszystko lata. Do tego stal jest tak mięka że łozyska rysują tą stal, przy obciążeniu 15kg na prowadnicę. Można ją spokojnie ciąć pilarką do drewna - mega tandeta - Fałszywy, nie prawdziwy opis o możliwości zastosowania na prowadnicę do CNC. Zmarnowane pieniądze. Jest to zwykły pręt ciągniony jaki można kupić na skladach metalu po 8pln za metr. A tutaj mamy to samo badziewie po 21pln za metr. Zwykłe naciąganie i wprowadzanie w błąd opisem i tytułem.;1;Zawyżone parametry i podróbki;Klient zarzuca sprzedawcy celowe wprowadzanie w błąd oraz rażącą niezgodność wymiarów i właściwości fizycznych materiału z opisem aukcji.;;negatywny;3039
37;Beznadzieja. Szkło nie współgra z etui. Po pierwszym nałożeniu szkła na ekran wszystko było ok. Kiedy założyłem etui, które ma zbyt wysokie ścianki boczne szkło od razu się odkleiło i podniosło. Po tym zabiegu szkło nawet bez etui nie przylegało dobrze do ekranu. Żeby dotyk poczuł palec trzeba było nadusić tak mocno jak w rozwalony guzik w nokii 3310.Co gorsza zwrócić już tego nie można, bo przecież już używane... i tak 125 zł poszło do śmieci.;1;Kompatybilność i montaż;Głównym problemem zgłaszanym przez klienta jest brak kompatybilności szkła z etui oraz wynikające z tego problemy z przyleganiem i montażem.;;negatywny;1336
38;Dzisiaj udało mi się przylutować słownie DWA rezystory SMD, dałem temperaturę na 380C...  i nagle pojawił się na wyświetlaczu 5-E.. No i na tym zakończyła się moja przygoda z Hot Air. Ja rozumiem gdybym się na tą dmuchawą wyżywał, przegrzewał.... Nie udało mi się nic przylutować po za 2 ma rezystorami SMD. ;1;Słabe materiały i usterki;Urządzenie uległo nagłej awarii i przestało działać po zaledwie krótkim czasie użytkowania, co wskazuje na bezpośrednią usterkę techniczną.;;negatywny;1479
39;Konsola ok ale + GRA oznacza szmelc zwany losowo dobieranym nigdzie to nie jest napisane moim przypadku dostałem battlefront'a pierwszą część, w którą nigdy nie zagram ponieważ jest to gra multiplayer, w którą nikt nie gra więc w dużym stopniu podejrzewam, że duża część osób dostanie ową grę. Polecam wybrać inną ofertę bo jest ich pełno w podobnej cenie, ale za to dostaniecie coś o wiele lepszego.;1;Zawyżone parametry i podróbki;Klient czuje się wprowadzony w błąd przez brak informacji o losowym doborze gry, która w praktyce okazała się bezwartościowa.;;negatywny;3037
40;etui super, ale dodane w tym zestawie szkło na ekran nie współpracuje z tym etui  Szkło odkleja się - bo etui ściska go z boków - szkło odstaje i dotyk nie działa. Szkło nadaje się do kosza - szkoda dopłacać.  Szkoda że w opisie nie ma o tym informacji - było by uczciwiej. Strata czasu i tyle. Oceniam kiepsko - jako zestaw.;1;Kompatybilność i montaż;Głównym problemem jest brak wzajemnej kompatybilności elementów zestawu, co uniemożliwia poprawne przyleganie szkła do ekranu.;;negatywny;1371
41;wtopa!!!!!!!!!!!!!!!!!nie kupujcie Miałem poprzedni model i powtórzyłem , ale to lipa: zamiast blach są blaszki , kurki niewygodne ( śliskie ) byly pręty są druty , kuchnia bez przymocowania do ściany kołysze się jakby była zrobiona z papieru ( takie cienkie blaszki obudowy ,że jest niestabilna !!!! ) plastikowe ranty przy płycie grzewczej przeszkadzają i niszczą się błyskawicznie. Amica utrzymała cenę sprzed 10 lat ( poprzednio miałem z tego okresu ) kosztem jakosci materiałów i wykonania . NIE NIE NIE !!!!!!!!!!!!!!!!!!!!!!!!!!;1;Słabe materiały i usterki;Klient szczegółowo opisuje drastyczne pogorszenie jakości materiałów konstrukcyjnych, takich jak cienkie blachy i nietrwałe elementy plastikowe.;;negatywny;1841
42;Nie polecam . Opis wyolbrzymiony. Fullhd chuba full bo hd to zabraklo. Bateria trzymie15 minut . Opis tego produktu to tak jak garnuszek zlota na koncu teczy. Wyraźnie napisaliscie kontaktowac sie przed ocena produktu z wami prywatne by wyjasnic sprawe. W d***e to mam z swiniami krotko. Trzeba bylo npisac opis przedstawiajacy produkt wrzeczywistym stanie . ;1;Zawyżone parametry i podróbki;Klient wprost zarzuca sprzedawcy wyolbrzymienie opisu produktu, wskazując na brak deklarowanej rozdzielczości Full HD oraz drastycznie krótki czas pracy baterii.;;negatywny;1455
43;Jak zwykle przy nieoryginalnych kabelkach do apple... kicha... Nie trzyma się dobrze w gnieździe telefonu, rozłacza ładowanie często podczas ruchu (kupiłem go do ładowania telefonu na rower  ) Obudowa wokół gniazda lightning szersza niż oryginalny kabel więc jeśli używacie jakiejś obudowy na telefon który osłania gniazdo lightning telefonu, macie problem.;1;Kompatybilność i montaż;Klient zgłasza problemy z fizycznym dopasowaniem wtyczki do gniazda telefonu oraz kolizję obudowy kabla z etui ochronnym.;;negatywny;1421
